Id	Score	URL	NormURL	ContentSpace
jewelry	0.504193	http://411mania.com/movies/comics-411-03-26-14-favorite-marvel-superhero-team-edition/	http://411mania.com/movies/comics-411-03-26-14-favorite-marvel-superhero-team-edition/	Sovrn
literature-language	0.556966	http://411mania.com/wrestling/411-fact-or-fiction-09-06-12-punkheyman-d-bry-kane-hug-it-out-more/	http://411mania.com/wrestling/411-fact-or-fiction-09-06-12-punkheyman-d-bry-kane-hug-it-out-more/	Sovrn
u-s-cities	0.743405	http://411mania.com/wrestling/todays-schedule-of-streaming-events-on-the-wwe-network-105/	http://411mania.com/wrestling/todays-schedule-of-streaming-events-on-the-wwe-network-105/	Sovrn
humanities	0.574998	http://411mania.com/wrestling/wwe-house-show-results-2-01-14-orlando-florida/	http://411mania.com/wrestling/wwe-house-show-results-2-01-14-orlando-florida/	Sovrn
fashion	0.800748	http://celebslam.celebuzz.com/2013/02/paparazzi-petra-benova-bikini.php	http://celebslam.celebuzz.com/2013/02/paparazzi-petra-benova-bikini.php	Sovrn
education	0.931712	http://footballscoop.com/news/brady-hoke-let-go-michigan/	http://footballscoop.com/news/brady-hoke-let-go-michigan/	Sovrn
action-movies	0.473179	http://nameberry.com/nametalk/threads/172504-your-1-favorite-combo	http://nameberry.com/nametalk/threads/172504-your-1-favorite-combo	Sovrn
personal-relationships	0.858883	http://nine.tweettunnel.com/reverse2.php?textfield=nudemorenaa	http://nine.tweettunnel.com/reverse2.php?textfield=nudemorenaa	Sovrn
internet	0.897649	http://starcasm.net/archives/147255	http://starcasm.net/archives/147255	Sovrn
sports	0.506808	http://totalfratmove.com/senior-uga-wide-receiver-chris-conley-trolls-freshman-running-back-nick-chubb-on-twitter/	http://totalfratmove.com/senior-uga-wide-receiver-chris-conley-trolls-freshman-running-back-nick-chubb-on-twitter/	Sovrn
music	0.943585	http://411mania.com/music/voice-of-reason-9-05-02-striking-while-the-iron-is-hot/	http://411mania.com/music/voice-of-reason-9-05-02-striking-while-the-iron-is-hot/	Sovrn
jewelry	0.559613	http://411mania.com/wrestling/411s-ovw-tv-report-6-03-06/	http://411mania.com/wrestling/411s-ovw-tv-report-6-03-06/	Sovrn
health	0.620193	http://411mania.com/wrestling/411s-wwe-heat-report-06-04-06/	http://411mania.com/wrestling/411s-wwe-heat-report-06-04-06/	Sovrn
actors	0.667591	http://411mania.com/wrestling/the-midnight-news-5-08-01/	http://411mania.com/wrestling/the-midnight-news-5-08-01/	Sovrn
government-law	0.478694	http://411mania.com/wrestling/the-midnight-news-5-08-01/	http://411mania.com/wrestling/the-midnight-news-5-08-01/	Sovrn
people	0.644392	http://buzzlamp.com/36-exquisitely-sexy-katy-perry-pictures/29/	http://buzzlamp.com/36-exquisitely-sexy-katy-perry-pictures/29/	Sovrn
mobile	0.783368	http://izismile.com/2010/02/03/more_walmart_people_117_pics.html4fuckr.com	http://izismile.com/2010/02/03/more_walmart_people_117_pics.html4fuckr.com	Sovrn
home	0.411971	http://izismile.com/2014/04/12/for_the_love_of_ink_60_pics-17.html	http://izismile.com/2014/04/12/for_the_love_of_ink_60_pics-17.html	Sovrn
technology-companies	0.523643	http://sportspyder.com/teams/notre-dame-fighting-irish-football/sources/12807/news/all	http://sportspyder.com/teams/notre-dame-fighting-irish-football/sources/12807/news/all	Sovrn
tv	0.787142	http://starcasm.net/archives/category/tv/jersey-shore/page/11	http://starcasm.net/archives/category/tv/jersey-shore/page/11	Sovrn
actors	0.956332	http://411mania.com/movies/two-tivos-to-paradise-09-19-08-emmys-pilots-and-returning-favorites-oh-my/	http://411mania.com/movies/two-tivos-to-paradise-09-19-08-emmys-pilots-and-returning-favorites-oh-my/	Sovrn
finance	0.916884	http://heavy.com/tech/2014/11/cyber-week-amazon-2014-best-deals-sales/5/	http://heavy.com/tech/2014/11/cyber-week-amazon-2014-best-deals-sales/5/	Sovrn
celebrities	0.859694	http://starcasm.net/archives/246044	http://starcasm.net/archives/246044	Sovrn
reality-television	0.780315	http://starcasm.net/archives/256901	http://starcasm.net/archives/256901	Sovrn
u-s-cities	0.406607	http://starcasm.net/archives/256901	http://starcasm.net/archives/256901	Sovrn
politics	0.579811	http://411mania.com/wrestling/category/columns/page/393/	http://411mania.com/wrestling/category/columns/page/393/	Sovrn
technology	0.6464	http://411mania.com/politics/a-different-kind-of-car-license/	http://411mania.com/politics/a-different-kind-of-car-license/	Sovrn
recreation	0.947097	http://411mania.com/wrestling/eric-young-discusses-his-new-tv-show-going-fishing-with-tna-stars-more/	http://411mania.com/wrestling/eric-young-discusses-his-new-tv-show-going-fishing-with-tna-stars-more/	Sovrn
fashion-beauty	0.405953	http://necolebitchie.com/2011/01/new-episodes-of-are-we-there-yet-premieres-tonight/charlie-murphy-and-ice-cube/	http://necolebitchie.com/2011/01/new-episodes-of-are-we-there-yet-premieres-tonight/charlie-murphy-and-ice-cube/	Sovrn
art	0.480518	http://necolebitchie.com/2012/08/brandy-puts-it-down-in-new-video-stills/brandy-shoe-game-is-crazy/	http://necolebitchie.com/2012/08/brandy-puts-it-down-in-new-video-stills/brandy-shoe-game-is-crazy/	Sovrn
performing-arts	0.480518	http://necolebitchie.com/2012/12/jaden-smith-denies-going-ham-on-an-instagram-fan/jaden-smith-10/	http://necolebitchie.com/2012/12/jaden-smith-denies-going-ham-on-an-instagram-fan/jaden-smith-10/	Sovrn
celebrities	0.661738	http://411mania.com/movies/category/news/page/18/	http://411mania.com/movies/category/news/page/18/	Sovrn
recreation	0.690888	http://411mania.com/wrestling/wwe-smackdown-viewership-up-2/	http://411mania.com/wrestling/wwe-smackdown-viewership-up-2/	Sovrn
foods	0.428532	http://buzzlamp.com/7-best-hangover-foods/3/	http://buzzlamp.com/7-best-hangover-foods/3/	Sovrn
autos	0.424794	http://discovermagazine.com/trips-tours/svalbard-arctic-eclipse-adventure/event-details/itinerary	http://discovermagazine.com/trips-tours/svalbard-arctic-eclipse-adventure/event-details/itinerary	Sovrn
travel	0.481007	http://footballscoop.com/news/sources-florida-expects-jim-mcelwain-next-head-coach/	http://footballscoop.com/news/sources-florida-expects-jim-mcelwain-next-head-coach/	Sovrn
fast-food-restaurants	0.753924	http://izismile.com/2012/07/05/yet_another_unusual_way_to_make_pizza_4_pics-3.html	http://izismile.com/2012/07/05/yet_another_unusual_way_to_make_pizza_4_pics-3.html	Sovrn
